IRISH STOCK EXCHANGE;;;ISEQ-Overall (Price);;;;
;;;;;;;
; Calculated:;04.04.2017;;;;;

;Volatility (p.a. %);Correlation;Beta;Beta;;;
ISIN;30 Days;30 Days;30 Days;250 Days;Closing Price/Value;Fi;Weight in %

IE0001477250;11.79%;100.00%;1.0000;1.0000;6621.410;;
CH0043238366;33.14%;16.99%;0.4777;0.6769;29.7000;3.78854;2.72
GB0031477770;39.23%;-17.36%;-0.5776;0.5131;31.9300;0.72512;0.56
GB00BDD1LS57;51.80%;5.46%;0.2400;0.9104;0.2430;3.36116;0.02
GB00BYYN4225;32.10%;5.47%;0.1490;0.7275;2.9500;4.10611;0.29
IE0000020408;17.74%;2.36%;0.0356;0.3644;14.0000;0.16841;0.06
IE0000527006;28.92%;-4.19%;-0.1029;0.2634;3.8500;1.75852;0.16
IE0000669501;26.37%;20.51%;0.4587;0.5979;18.1300;8.03769;3.53
IE0001827041;22.86%;80.09%;1.5534;1.0638;32.6600;35.97676;28.45
IE0002184616;17.52%;27.80%;0.4131;-0.0006;5.5000;0.38298;0.05
IE0002325243;46.81%;-11.53%;-0.4578;0.4587;1.6500;4.04953;0.16
IE0003073255;121.46%;-1.16%;-0.1197;0.5999;0.0590;86.76934;0.12
IE0003290289;19.51%;33.32%;0.5514;0.4305;7.9540;0.99697;0.19
IE0004906560;12.10%;45.06%;0.4626;0.4072;73.9900;6.54099;11.72
IE0004927939;15.38%;59.96%;0.7822;1.1993;29.3300;6.28335;4.46
IE0006627891;124.72%;-24.27%;-2.5680;-0.0597;0.0160;19.79535;0.01
IE0007214426;21.58%;-20.64%;-0.3777;0.3955;6.0000;0.84974;0.12
IE0030606259;32.83%;58.19%;1.6206;1.9967;0.2260;1183.56415;6.48
IE00B010DT83;18.23%;2.17%;0.0336;0.4260;3.6500;12.86887;1.14
IE00B01ZSK94;307.23%;10.09%;2.6302;-0.3002;0.0080;12.57200;0.00
IE00B0Q82B24;97.37%;32.21%;2.6609;1.9344;0.0350;27.84268;0.02
IE00B1FR8863;281.05%;6.11%;1.4575;0.7410;0.0060;16.23890;0.00
IE00B1G17W46;163.99%;7.48%;1.0412;-0.1120;0.0470;2.05448;0.00
IE00B1HDWM43;17.76%;19.07%;0.2874;0.2884;1.9550;11.72440;0.56
IE00B1RR8406;22.93%;44.24%;0.8604;0.9462;24.4550;9.97082;5.90
IE00B1WV4493;27.96%;22.92%;0.5437;0.6729;6.8680;5.29569;0.88
IE00B4XVDC01;132.68%;20.60%;2.3183;-0.4767;0.1300;0.14074;0.00
IE00B59HWB19;33.93%;-29.78%;-0.8574;0.2867;0.1240;31.10169;0.09
IE00B66B5T26;96.94%;38.67%;3.1800;1.2735;0.2100;25.67270;0.13
IE00BBR67J55;13.25%;24.95%;0.2803;0.4827;1.3500;28.32007;0.93
IE00BD64C665;59.40%;14.93%;0.7523;-0.1183;1.0200;3.27861;0.08
IE00BDC5DG00;37.30%;-8.02%;-0.2539;0.1090;3.6000;3.32603;0.29
IE00BGHQ1986;17.79%;21.37%;0.3224;0.4411;1.2550;28.77564;0.87
IE00BJ34P519;17.71%;19.28%;0.2896;0.2859;1.2290;15.08807;0.45
IE00BJMZDW83;17.21%;60.48%;0.8828;0.9402;4.5900;7.81285;0.87
IE00BJYS1G50;0.00%;0.00%;0.0000;0.0895;14.2000;0.06988;0.02
IE00BLP58571;24.18%;40.30%;0.8266;0.8361;4.9700;6.88462;0.83
IE00BVGC3741;19.63%;8.41%;0.1401;0.0844;10.0000;0.46878;0.11
IE00BWB8X525;30.57%;39.70%;1.0296;1.3993;2.3800;4.91920;0.28
IE00BWT6H894;23.47%;30.93%;0.6157;0.9426;99.5900;3.57600;8.62
IE00BXC8D038;17.80%;8.07%;0.1218;0.2847;4.7500;1.36804;0.16
IE00BYSZ9G33;39.40%;-1.79%;-0.0598;0.2398;5.0000;0.11709;0.01
IE00BYTBXV33;22.14%;57.54%;1.0807;1.3659;14.6900;52.33421;18.62
IE00BZ4BTZ13;29.96%;-0.40%;-0.0101;0.0384;0.1733;0.18889;0.00
;;;;;;;
;Sum (pit* Fi);;;;;;
      ISEQ =;--------------------- * 1000;;        A=;623.70;;;
;         A;;;;;;
;;;;;;;
;;;;;























;;;;;;;
;;;;;;;


























